"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADO_SUB_JUDICE";"QT_VOTOS_SEM_CAND_P_VOTAR";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"65919";"JACI";"65919";"JACI";"72";"11";"Prefeito";"5678";"13";"0";"5678";"13";"4704";"974";"N";"4542";"54";"108";"0";"0";"0";"0";"0";"0";"22:50:17";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"62650";"BURITIZAL";"62650";"BURITIZAL";"50";"11";"Prefeito";"3741";"10";"0";"3741";"10";"3152";"589";"N";"3003";"27";"122";"0";"0";"0";"0";"0";"0";"22:51:47";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"65056";"IGARATÁ";"65056";"IGARATÁ";"115";"11";"Prefeito";"8874";"22";"0";"8874";"22";"7070";"1804";"N";"6705";"125";"240";"0";"0";"0";"0";"0";"0";"23:30:22";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"63371";"CHAVANTES";"63371";"CHAVANTES";"313";"13";"Vereador";"8489";"24";"0";"8489";"24";"7216";"1273";"N";"6285";"247";"279";"405";"0";"0";"0";"0";"0";"13:15:00";"10/12/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"65277";"IPUÃ";"65277";"IPUÃ";"123";"11";"Prefeito";"11388";"28";"0";"11388";"28";"9423";"1965";"N";"8998";"116";"309";"0";"0";"0";"0";"0";"0";"23:32:32";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"69213";"PRAIA GRANDE";"69213";"PRAIA GRANDE";"406";"13";"Vereador";"118274";"307";"6";"118274";"307";"83331";"34943";"N";"67927";"5046";"4567";"4950";"0";"0";"91";"750";"0";"00:20:48";"16/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"61964";"MESÓPOLIS";"61964";"MESÓPOLIS";"427";"13";"Vereador";"1775";"6";"0";"1775";"6";"1561";"214";"N";"1480";"12";"26";"43";"0";"0";"0";"0";"0";"22:21:40";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"66958";"MIGUELÓPOLIS";"66958";"MIGUELÓPOLIS";"208";"13";"Vereador";"14313";"38";"0";"14313";"38";"11732";"2581";"N";"10203";"184";"276";"587";"0";"0";"0";"482";"0";"19:30:13";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"67253";"MONTE ALEGRE DO SUL";"67253";"MONTE ALEGRE DO SUL";"8";"11";"Prefeito";"6465";"17";"2";"6465";"17";"5026";"1439";"N";"4511";"177";"338";"0";"0";"0";"0";"0";"0";"23:31:34";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"68110";"PARAGUAÇU PAULISTA";"68110";"PARAGUAÇU PAULISTA";"12";"11";"Prefeito";"32387";"89";"0";"32387";"89";"23170";"9217";"N";"21159";"870";"1085";"0";"0";"0";"56";"0";"0";"23:00:18";"15/11/2020"
